company,first_name,last_name,email,phone,domain,industry,city,province,country,notes,source_file,priority_bucket
None,AAA,Ontario,aaa@ontario.org,+14164881122,,Business Association,,,,,Canada_Business_Directories.xlsx::Ontario,CA: email
None,Canpages,Alberta,ab@canpages.ca,+18004657295,,Directory,,,,,Canada_Business_Directories.xlsx::Alberta,CA: email
None,YellowPages,Alberta,ab@yellowpages.ca,+14032282000,,Directory,,,,,Canada_Business_Directories.xlsx::Alberta,CA: email
None,Accessoires,Beaudoin,accessoiresbeaudoin@qc.ca,+15145243000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Accurate,Plumbing & Heating,accurateplumbing@mymts.net,+12047271234,,Plumbing,,,,,Canada_Business_Directories.xlsx::Manitoba,CA: email
None,Actuel,,actuel@qc.ca,+15148424000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Adrenaline,,adrenaline@qc.ca,+15149335000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,AFC,Plumbing,afcplumbing@mymts.net,+12046615678,,Plumbing,,,,,Canada_Business_Directories.xlsx::Manitoba,CA: email
None,Agence,De Voyages Transat,agence@transat.com,+15149876000,,Travel,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Aire,Ouverte,aireouverte@qc.ca,+15147617000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Aliments,Natural,alimentsnatural@qc.ca,+15142888000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Ambiance,,ambiance@qc.ca,+15148499000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,A.M.,Plumbing & Heating,amplumbing@mymts.net,+12043398901,,Plumbing,,,,,Canada_Business_Directories.xlsx::Manitoba,CA: email
None,Andi,Czarniecki AC,andezarnecki@gmail.com,+12049527644,,HVAC,,,,,Canada_Business_Directories.xlsx::Manitoba,CA: email
None,Animaux,De Compagnie,animauxdecompagnie@qc.ca,+15149331000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Anne-Sophie,,annesophie@qc.ca,+15148422000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Apex,Plumbing & Heating,apexplumbing@mymts.net,+12048884567,,Plumbing,,,,,Canada_Business_Directories.xlsx::Manitoba,CA: email
None,A,Propos,apropos@qc.ca,+15142882000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,Arlequin,,arlequin@qc.ca,+15145243000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
None,A,Little Art Boutique,art@alittleart.ca,+12047928723,,Retail,,,,,Canada_Business_Directories.xlsx::Manitoba,CA: email
None,Artisan,,artisan@qc.ca,+15147615000,,Retail,,,,,Canada_Business_Directories.xlsx::Quebec,CA: email
